route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,final_departure_time,final_stop_id,shape_dist_traveled,first_arrival_time,duration,route_short_name,next_arrival_time,time_waiting,is_port_authority_stop,is_incomplete_100th,is_incomplete_99th,is_incomplete_95th,is_incomplete_90th
63,4,12539,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY072,1048,1 days 01:57:00,43274,19.1958,1 days 01:00:00,0 days 00:57:00,190,1 days 02:15:00,0 days 00:18:00,1,1.0,1.0,1.0,1.0
63,5,12775,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY072,1088,0 days 20:48:00,43274,19.1958,0 days 19:30:00,0 days 01:18:00,190,0 days 21:12:00,0 days 00:24:00,1,1.0,1.0,1.0,1.0
63,5,12816,190 NEW YORK VIA SECAUCUS,0,190WY072,1090,0 days 23:19:00,43274,19.2093,0 days 22:20:00,0 days 00:59:00,190,0 days 23:40:00,0 days 00:21:00,1,1.0,1.0,1.0,1.0
63,5,12783,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY072,1088,1 days 01:57:00,43274,19.1958,1 days 01:00:00,0 days 00:57:00,190,1 days 02:15:00,0 days 00:18:00,1,1.0,1.0,1.0,1.0
63,5,12815,190 NEW YORK VIA SECAUCUS,0,190WY073,1090,0 days 22:39:00,43274,19.2093,0 days 21:40:00,0 days 00:59:00,190,0 days 23:00:00,0 days 00:21:00,1,1.0,1.0,0.0,0.0
63,5,12782,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY073,1088,1 days 01:22:00,43274,19.1958,1 days 00:25:00,0 days 00:57:00,190,1 days 01:40:00,0 days 00:18:00,1,1.0,1.0,0.0,0.0
63,7,12499,190 NEW YORK VIA SECAUCUS,0,190WY073,1043,0 days 22:39:00,43274,19.2093,0 days 21:40:00,0 days 00:59:00,190,0 days 23:00:00,0 days 00:21:00,1,1.0,1.0,0.0,0.0
63,7,12497,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY073,1042,1 days 01:22:00,43274,19.1958,1 days 00:25:00,0 days 00:57:00,190,1 days 01:40:00,0 days 00:18:00,1,1.0,1.0,0.0,0.0
63,4,12569,190 NEW YORK VIA SECAUCUS,0,190WY074,1050,0 days 21:59:00,43274,19.2093,0 days 21:00:00,0 days 00:59:00,190,0 days 22:30:00,0 days 00:31:00,1,1.0,1.0,1.0,1.0
63,4,12538,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY074,1048,1 days 00:48:00,43274,19.1958,0 days 23:50:00,0 days 00:58:00,190,1 days 01:05:00,0 days 00:17:00,1,1.0,1.0,1.0,1.0
63,4,12540,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY074,1048,1 days 03:27:00,43274,19.1958,1 days 02:30:00,0 days 00:57:00,190,1 days 04:00:00,0 days 00:33:00,1,1.0,1.0,1.0,1.0
