Energy Consumption,Power Consumption,Temperature,Speed,Bus
1.82,17.91,53.92,9.85,22902
1.62,19.49,53.42,12.00,22902
1.55,20.09,54.42,12.99,22903
2.10,19.18,51.98,9.12,22903
2.36,32.78,39.02,13.91,22902
2.41,30.74,43.00,12.74,22902
1.75,25.07,48.15,14.34,22902
1.82,29.09,50.46,16.02,22902
2.80,22.42,46.67,8.02,22903
1.78,29.76,42.57,16.75,22903
1.55,24.96,46.69,16.08,22903
1.60,30.19,49.21,18.86,22903
1.59,27.10,50.66,17.08,22903
1.79,18.34,50.69,10.22,22903
1.41,18.81,50.01,13.36,22901
1.46,24.03,63.28,16.48,22901
2.92,24.92,39.87,8.54,22903
1.64,15.29,59.75,9.34,22903
1.85,23.22,49.17,12.54,22903
1.92,25.39,43.42,13.21,22901
1.69,26.32,50.27,15.58,22901
1.47,20.39,54.27,13.90,22901
1.66,25.71,59.56,15.52,22901
1.54,18.17,73.28,11.76,22901
1.41,15.85,71.17,11.21,22901
1.44,18.01,69.77,12.53,22901
1.69,21.07,66.98,12.45,22901
1.45,19.71,65.18,13.56,22901
1.59,20.18,64.00,12.70,22901
1.72,22.81,63.59,13.26,22901
2.15,24.65,73.62,11.44,22902
1.88,17.23,72.10,9.14,22902
1.54,18.02,69.34,11.68,22902
1.45,12.67,64.78,8.76,22902
2.29,19.10,47.79,8.34,22903
1.59,28.63,60.42,17.99,22903
1.60,28.56,71.02,17.80,22903
1.60,16.03,59.75,10.03,22901
1.38,15.29,65.40,11.12,22901
1.64,18.10,71.54,11.05,22901
1.75,18.00,77.25,10.28,22901
2.11,26.13,81.69,12.39,22901
1.60,19.93,83.01,12.48,22901
1.65,19.86,82.93,12.04,22901
1.52,18.73,81.40,12.31,22901
1.36,15.03,76.75,11.03,22901
1.32,15.74,73.76,11.89,22901
1.20,14.98,71.42,12.45,22901
1.14,14.18,69.46,12.46,22901
1.16,17.13,62.74,14.72,22902
1.30,16.74,66.89,12.91,22902
1.29,19.14,79.82,14.86,22902
1.56,14.20,81.50,9.11,22902
1.74,18.12,81.98,10.43,22902
1.60,16.95,82.56,10.57,22902
1.72,18.56,83.08,10.81,22902
2.06,17.90,83.12,8.67,22902
1.59,16.52,82.64,10.36,22902
1.45,15.92,81.63,10.95,22902
1.60,21.07,59.53,13.20,22903
1.57,19.92,65.37,12.68,22903
1.69,30.21,80.87,17.87,22903
1.40,18.81,82.81,13.47,22903
2.16,29.18,82.78,13.48,22903
1.78,27.26,79.62,15.31,22903
1.64,26.55,74.08,16.22,22903
0.98,15.72,67.51,16.00,22901
1.29,17.71,59.45,13.68,22901
1.17,13.37,64.04,11.42,22901
1.53,20.94,72.39,13.73,22901
1.48,20.07,77.98,13.52,22901
1.79,20.89,81.74,11.67,22901
1.92,22.29,85.36,11.61,22901
1.39,20.44,61.51,14.73,22902
1.53,22.20,59.51,14.53,22902
1.64,20.01,72.01,12.22,22902
1.84,13.72,86.11,7.46,22902
1.95,18.76,86.72,9.60,22902
1.98,19.20,86.83,9.70,22902
2.38,17.27,86.50,7.27,22902
1.59,18.56,85.66,11.67,22902
1.51,13.88,84.20,9.17,22902
1.79,20.76,86.81,11.63,22903
2.02,20.01,86.03,9.93,22903
1.62,20.00,83.60,12.36,22903
1.39,16.30,77.83,11.77,22903
1.38,16.69,74.57,12.10,22903
1.11,14.61,72.54,13.12,22903
1.53,18.65,70.86,12.17,22903
1.20,15.49,69.91,12.90,22901
1.64,15.01,78.01,9.16,22901
1.18,12.77,69.09,10.86,22901
1.71,22.68,60.27,13.30,22902
1.62,18.57,68.57,11.43,22902
1.71,29.26,84.12,17.12,22902
1.94,27.59,84.21,14.25,22902
1.72,25.01,81.18,14.59,22902
1.42,22.95,76.25,16.19,22902
1.23,19.60,71.81,15.97,22902
1.37,18.02,59.67,13.14,22903
1.39,12.09,62.16,8.73,22903
1.60,20.35,68.77,12.68,22903
1.50,31.37,74.34,20.88,22903
1.62,20.22,75.75,12.49,22903
1.82,18.35,81.76,10.07,22903
2.13,24.74,84.47,11.64,22903
1.75,19.21,83.88,10.95,22903
1.69,18.42,81.40,10.87,22903
1.56,18.60,78.65,11.90,22903
1.44,16.16,77.16,11.18,22903
1.38,15.38,72.52,11.14,22903
1.79,21.22,69.47,11.85,22903
2.00,21.34,68.79,10.66,22903
1.36,12.59,71.61,9.27,22901
